"plot_id","genus","specie","family","dbh","h"
23,"Nectandra","lanceolata","Lauraceae",42,19
23,"Cupania","vernalis","Sapindaceae",12,11
23,"Campomanesia","xanthocarpa","Myrtaceae",27,14.5
23,"Dahlstedtia","floribunda","Fabaceae",7,5.5
23,"Dahlstedtia","floribunda","Fabaceae",11,9
23,"Araucaria","angustifolia","Araucariaceae",35,19
23,"Cordyline","spectabilis","Asparagaceae",14,4
23,"Dahlstedtia","floribunda","Fabaceae",19,11
23,"Dahlstedtia","floribunda","Fabaceae",8,9
23,"Aureliana","fasciculata","Solanaceae",8,6
23,"Allophyllus","edulis","Sapindaceae",11,10.5
23,"Matayba","elaeagnoides","Sapindaceae",15,10
24,"Symplocos","uniflora","Symplocaceae",16,9
24,"Symplocos","uniflora","Symplocaceae",24,12.5
24,"Symplocos","uniflora","Symplocaceae",12,9
24,"Symplocos","uniflora","Symplocaceae",8,7
24,"Persea","major","Lauraceae",16,16
24,"Matayba","elaeagnoides","Sapindaceae",18,12
24,"Matayba","elaeagnoides","Sapindaceae",34,17.5
24,"Cordyline","spectabilis","Asparagaceae",8,4.5
24,"Dalbergia","frutescens","Fabaceae",7,8
24,"Dahlstedtia","floribunda","Fabaceae",7,7
24,"Symplocos","uniflora","Symplocaceae",6,4
24,"Symplocos","uniflora","Symplocaceae",16,12
24,"Symplocos","uniflora","Symplocaceae",9,6
24,"Symplocos","uniflora","Symplocaceae",24,16
24,"Symplocos","uniflora","Symplocaceae",6,4
24,"Symplocos","uniflora","Symplocaceae",12,10
24,"Dahlstedtia","floribunda","Fabaceae",8,8
24,"Nectandra","lanceolata","Lauraceae",27,17
24,"Matayba","elaeagnoides","Sapindaceae",10,10
24,"Lithraea","brasiliensis","Anacardiaceae",14,12
24,"Symplocos","uniflora","Symplocaceae",6,5
24,"Symplocos","uniflora","Symplocaceae",19,15
24,"Symplocos","uniflora","Symplocaceae",26,16
24,"Symplocos","uniflora","Symplocaceae",18,10
25,"Matayba","elaeagnoides","Sapindaceae",31,17.5
25,"Matayba","elaeagnoides","Sapindaceae",25,16
25,"Allophyllus","edulis","Sapindaceae",5,7.5
25,"Allophyllus","edulis","Sapindaceae",6,8
25,"Myrsine","umbellata","Primulaceae",14,10
25,"Matayba","elaeagnoides","Sapindaceae",22,16
