"plot_id","genus","specie","family","dbh","h"
12,"Vernonanthura","discolor","Asteraceae",9,9
12,"Prunus","brasiliensis","Rosaceae",18,15
12,"Prunus","brasiliensis","Rosaceae",25,17.5
12,"Matayba","elaeagnoides","Sapindaceae",11,9
12,"Casearia","sylvestris","Salicaceae",13,10
12,"Prunus","brasiliensis","Rosaceae",14,15
12,"Piptocarpha","axilaris","Asteraceae",24,17.5
12,"Vernonanthura","discolor","Asteraceae",12,11.5
12,"Casearia","sylvestris","Salicaceae",9,10
12,"Casearia","sylvestris","Salicaceae",10,10
12,"Casearia","sylvestris","Salicaceae",15,12.5
12,"Ilex","theizans","Aquifoliaceae",8,9
12,"Drimys","brasiliensis","Winteraceae",10,7.5
12,"Myrcia","splendens","Myrtaceae",6,7
12,"Cupania","vernalis","Sapindaceae",5,7
12,"Myrsine","gardneriana","Primulaceae",5,6
