plot;tree;dbh;h;family;specie
10;137;9,867606472;3,5;Ebenaceae;Diospyros hispida
10;138;8,75352187;4;Rubiaceae;Alibertia edulis
10;140;9,390141642;8;Fabaceae;Tachigali aurea
10;141;6,047887837;6;Malpighiaceae;Byrsonima verbascifolia
10;142;7,480282325;5;Vochysiaceae;Qualea grandiflora
10;143;13,36901522;7;Chrysobalanaceae;Couepia grandiflora
10;144;8,276057041;3;Arecaceae;Syagrus flexuosa
10;145;9,549296586;7;Malpighiaceae;Byrsonima verbascifolia
10;146;5,570423008;4;Fabaceae;Leptolobium elegans
11;148;9,867606472;5;Combretaceae;Buchenavia tomentosa
11;149;5,252113122;5;Fabaceae;Leptolobium elegans
11;150;6,047887837;2,5;Vochysiaceae;Qualea grandiflora
11;151;7,639437268;3;Malpighiaceae;Byrsonima basiloba
11;152;15,27887454;8;Fabaceae;Anadenanthera falcata
11;153;15,59718442;8;Fabaceae;Dimorphandra mollis
11;154;4,933803236;3;Fabaceae;Tachigali aurea
11;155;10,18591636;8;Vochysiaceae;Qualea grandiflora
11;156;6,366197724;6;Vochysiaceae;Qualea grandiflora
11;157;4,774648293;3,5;Vochysiaceae;Qualea parviflora
11;158;5,729577951;3;Vochysiaceae;Vochysia cinnamomea
11;159;8,912676813;7;Fabaceae;Leptolobium elegans
11;160;10,50422624;8;Vochysiaceae;Qualea parviflora
11;161;10,82253613;8;Combretaceae;Buchenavia tomentosa
11;162;11,4591559;8;Ebenaceae;Diospyros hispida
11;163;5,092958179;3;Fabaceae;Leptolobium elegans
11;164;6,366197724;3;Fabaceae;Leptolobium elegans
11;165;4,933803236;7;Rubiaceae;Alibertia edulis
11;166;8,912676813;4;Erythroxylaceae;Erythroxylum suberosum
11;167;11,77746579;8;Fabaceae;Leptolobium elegans
11;168;6,366197724;3;Fabaceae;Leptolobium elegans
11;170;9,867606472;8;Vochysiaceae;Qualea grandiflora
11;171;11,14084602;3;Myrtaceae;Myrcia sp1
11;172;5,092958179;3;Rubiaceae;Alibertia edulis
11;173;10,82253613;8;Fabaceae;Tachigali aurea
11;174;9,230986699;8;Fabaceae;Leptolobium elegans
11;175;13,05070533;8;Sapotaceae;Pouteria torta
